LINE,STATION,IN_WEEKDAY,IN_FRI,IN_SAT,IN_SUN,OUT_WEEKDAY,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Ladbroke Grove,5829.777778,6396.090909,6736.2,3704.818182,5891.166667,6310.454545,6554.2,3610.545455,2648507.066
LU,Lambeth North,2900.85,3115.4,3177.6,2362.111111,2763.5,2867.5,2825.9,1944.333333,1286347.024
LU,Lancaster Gate,5950,6188.75,6080.666667,4794.555556,5907.117647,6152.75,5717.666667,4427.444444,2668131.316
LU,Latimer Road,2752.210526,2534.454545,1787.4,1305.363636,2634,2393.545455,1687.3,1304.727273,1075228.536
LU,Leicester Square,30644.5,37785.55556,53557,34717.44444,29354.85,39845,55778.375,33253,16345381.07
LU,Leyton,12617.47368,12724.3,11668.54545,7559.3,12007.31579,11615.9,10757.45455,7458.7,5293420.447
LU,Leytonstone,10144.75,10307.55556,8309.6,5741.454545,10049.6,9881.333333,8122.1,5834.636364,4259419.319
LU,Liverpool Street LU,60014.8,59967.90909,53936.54545,35096,63792.7,63927.18182,58554.81818,38634.36364,26596892.97
LU,London Bridge LU,70445.55,73371.2,73043.36364,47535.27273,68353.4,70908.4,68767.72727,45522.45455,30857082.44
LU,Loughton,3829.15,3759.75,3141.4,1899.6,3927.1,3806.625,3052.8,1970.7,1606879.26
LU,Maida Vale,3464.8,3593.888889,3042.5,2022.555556,3271.25,3198.777778,2656.5,1961.333333,1433954.372
LU,Manor House,8227.25,8896,7946.6,6056.272727,7964.65,8121.5,7208.2,5820.272727,3593705.578
LU,Mansion House,5619.85,4132,2715.666667,1718,5840.05,4436.777778,2835.333333,1575.4,2088947.671
LU,Marble Arch,12557.23529,11091.125,11143.28571,8059.625,12221.41176,10790.25,10792,7763.75,5242933.412
LU,Marylebone LU,10133.7,10219.125,9672.75,7064.125,10824.35,10659.375,10184.75,7584.75,4597698.233
LU,Mile End,15586.57895,16935.11111,13317.7,9550.8,15254.73684,15807.22222,12548.7,9668.2,6644477.227
LU,Mill Hill East,2119.12746,1999.665622,1207.513408,819.7561569,1756.83675,1648.778625,1056.086692,917.5540427,764643.8418
LU,Moor Park,1244.428571,1221.5,560,319.6666667,1211.571429,1170.875,568.2857143,359.2222222,463133.1985
LU,Moorgate,23726.25,17694.09091,8851.285714,5404,25858.75,19821.81818,10244.14286,5802.375,8789962.331
LU,Morden,10547.25,10633.8,9364.222222,6286.777778,10168.4,9946.7,8664.666667,6108,4421002.212
LU,Mornington Crescent,3721.9,3280.444444,3050,1788.6,3420.55,2916.666667,2178.666667,1373.4,1425295.849
LU,Neasden,3976.7,3986.777778,2816.571429,1909.3,3669.55,3612.444444,2591.285714,1856.5,1564012.448
LU,Newbury Park,5678.888889,5563.6,4233.111111,2968.7,5071.5,4890.2,3725.222222,2790.3,2218404.265
LU,North Acton,7728.105263,7717.777778,5744.5,3881.857143,7600.473684,7357.111111,5394.333333,3927.428571,3148552.322
LU,North Ealing,893.5882353,937.1111111,644,409.875,850.8823529,853.1111111,605.8,399.875,357587.5179
LU,North Greenwich,22039.86667,25207.85714,30108.5,23155.18182,22936,26655.57143,31942.7,24567.63636,11279521.96
LU,North Harrow,2005.578947,1881.3,1279.428571,746,1916.684211,1734.4,1200.428571,762.2857143,769256.9638
LU,North Wembley,1974.277778,1971.25,1346.222222,903.5555556,1878.388889,1838.125,1225.333333,891.1111111,778945.5697
LU,Northfields,3875.842105,3818.9,3101.875,2223.285714,3850.947368,3776.7,3172.875,2383.571429,1630937.928
LU,Northolt,6091.6,6116.888889,4694.571429,3044.166667,5869.65,5744.888889,4281.571429,2986.333333,2467439.874
LU,Northwick Park,4726.578947,4656.714286,2778.666667,1854.777778,4633.263158,4379.571429,2623.166667,1869.666667,1836275.501
LU,Northwood,3244.142857,3139.666667,2040.75,1220,3263.142857,3039.111111,1906,1220.333333,1274615.068
LU,Northwood Hills,2100.35,2134.9,1430.166667,873,2024.25,2022.7,1325.666667,898.1111111,831676.5682
LU,Notting Hill Gate,13932.95,14538.1,15912.75,9544.444444,14053.85,14877.4,17094.125,10003.22222,6404192.584
LU,Oakwood,2845.6,2922.571429,2963.272727,2030.7,2918.75,2943.428571,3011.090909,2156.5,1290796.177
LU,Old Street,22410.15,22148.5,18726.33333,11627.57143,22936.4,24786.8,21651.77778,11427.42857,9635309.892
LU,Osterley,2137.55,2077.111111,1914.888889,1335.111111,2147.65,1971.555556,1783.888889,1369.111111,911251.9799
LU,Oval,7472.45,7684.5,6537.272727,4546.363636,7190.15,7071.3,5892.454545,4371.363636,3129276.42
LU,Oxford Circus,69642.5,68934.88889,68292.88889,43806.9,77884.45,83539.11111,90458.77778,49947.1,32863151.93
LU,Paddington TfL,44559.8,48076.5,47618,37271.09091,43944.95,49271.8,46532.18182,36044.90909,20437217.24
LU,Park Royal,2186.1,2201,1682.222222,1101,2247.9,2325.2,1722,1039.444444,918332.6236
LU,Parsons Green,7537.894737,7134.625,5486.111111,3482.666667,7344.052632,6689.375,4912.333333,3421.5,2993896.958
LU,Perivale,2685.1,2595.555556,1885.777778,1199.555556,2670.55,2534.555556,1848.555556,1242.555556,1080893.135
LU,Piccadilly Circus,29006.2,32491.54545,40418.88889,26574.72727,27934.95,34536.09091,42820.44444,23694.27273,14144793.46
LU,Pimlico,9857,9392.8,7814.375,5576.285714,9689.833333,9001.2,7490.75,5439,4058878.061
LU,Pinner,3108.551025,3147.527675,2478.229136,1626.843786,3052.156614,2805.815326,2450.597384,1632.710126,1280875.032
LU,Plaistow,6837.45,6752.5,4444.75,3150.6,6427.1,6220.1,4123.125,3154.6,2671882.045
LU,Preston Road,3394.578947,3390.333333,2501.666667,1711.285714,3348.052632,3266,2436.833333,1756.857143,1388172.824
LU,Putney Bridge,6104.411765,5992.9,5496.625,3518.888889,6653.823529,6372.5,5358.25,3568.777778,2686314.4
LU,Queen's Park,5750.8,5857.3,4940.571429,3333.7,5445.55,5323.5,4512.857143,3315.8,2380111.097
LU,Queensbury,4504.842105,4460,3328.222222,2119.333333,4532.947368,4288.625,3145.222222,2093.444444,1835749.512
LU,Queensway,7388.894737,8600.9,9195.777778,6786.888889,7705.473684,8843.9,9357,6435.666667,3619503.743
LU,Ravenscourt Park,3759.631579,3857.222222,2726.625,1829.818182,3714.052632,3772.222222,2543.375,1819.909091,1533828.205
LU,Rayners Lane,4317.789474,4315.888889,3343.571429,2141.1,4270.473684,4225.888889,3301.428571,2164,1778249.84
LU,Redbridge,3104.8,3042.888889,2585.285714,1775.727273,2902.05,2725.555556,2282.571429,1705.090909,1259737.652
LU,Regent's Park,2897.0625,2712.111111,1842.625,1199.111111,3422.3125,3394.111111,2366.875,1528.222222,1265551.302
LU,Richmond,4386.767793,5760.504809,4413.338786,4376.323509,4970.460606,5324.687681,4137.914022,5070.830198,2196601.686
LU,Rickmansworth,2808.684211,2824.875,1765.666667,1008.444444,2742.789474,2704.25,1708.555556,1043.666667,1098469.166
LU,Roding Valley,327,259.6,198,120,500.8,383.4,299,129,155225.9393
LU,Royal Oak,2916.05,2877.8,2247.111111,1646.428571,2769.05,2634.2,2117.111111,1633,1185481.086
