LINE,STATION,IN_MON,IN_TUE_TO_THU,IN_FRI,IN_SAT,IN_SUN,OUT_MON,OUT_TUE_TO_THU,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LO,Imperial Wharf,5025.983014,5025.983014,4965.825731,2882.038377,1804.718465,4673.089022,4673.089022,4547.027367,2602.154766,1578.247877,2689975.981
LO,Kensal Green,0,0,0,0,0,0,0,0,0,0,0
LO,Kensal Rise,5127.937599,5127.937599,4200.762792,3229.196903,2817.789529,4883.852323,4883.852323,3799.707785,2660.641881,2872.502839,2805309.962
LO,Kensington (Olympia),2995.770595,3691.741566,3729.453087,2203.641617,2269.657072,3079.662562,3858.896189,3584.242551,2023.825562,2032.768899,2096930.785
LO,Kentish Town West,3522.447005,3522.447005,4092.803636,2854.002885,2330.673166,3542.624892,3542.624892,4240.864449,2770.059028,2362.562711,2207035.843
LO,Kenton,0,0,0,0,0,0,0,0,0,0,0
LO,Kew Gardens,0,0,0,0,0,0,0,0,0,0,0
LO,Kilburn High Road,1088.092991,1184.85897,1252.864782,1025.060291,696.7599874,1175.553109,1201.897871,1251.033985,1091.1188,745.1679424,728566.8854
LO,Leyton Midland Road,2240.979577,2446.576492,2400.125826,1851.945056,1053.965258,2269.872893,2414.910349,2304.108809,1740.589284,1053.965258,1387888.409
LO,Leytonstone High Road,1547.773001,1685.750236,1691.700744,1409.038482,954.1784628,1496.277655,1633.427703,1619.257329,1303.344867,908.2520709,982688.3934
LO,Liverpool Street NR,19264.5,24529,20787,9088,8329,17878.5,21993.11111,20288.5,7229,7024.5,11736136.24
LO,London Fields,2969.854757,2969.854757,2822.510016,3027.534557,2230.651342,3130.24624,3130.24624,3051.812798,3829.408086,2788.052079,1983050.48
LO,New Cross,3473.96863,3473.96863,3391.39691,3307.619715,2283.320049,3466.482637,3466.482637,3197.846521,3533.179682,2383.973634,2157537.088
LO,New Cross Gate,6357,7070.651302,7157,8420,5580,6317,6887.102367,7149,8596,6193,4593779.827
LO,North Wembley,0,0,0,0,0,0,0,0,0,0,0
LO,Norwood Junction,2618,3083.500787,2969,2705,2001,2629,3013.188139,2669,2573,1656,1792966.019
LO,Peckham Rye,4602.920458,4602.920458,4402.343922,4851.761313,3436.482697,5704.259623,5704.259623,5539.492149,5485.259768,4217.230769,3253834.353
LO,Penge West,1291.615828,1291.615828,1301.430573,1530.224212,764.6586582,1210.58866,1210.58866,1235.938311,1220.440741,712.8471684,789183.9542
LO,Queen's Park,0,0,0,0,0,0,0,0,0,0,0
LO,Queens Road Peckham,2754.68075,2754.68075,2205.933638,2762.809683,1818.586367,2733.671127,2733.671127,2094.885689,2741.132605,1835.601014,1666046.723
LO,Rectory Road,2572.231728,2572.231728,2287.846823,1906.342655,1276.935053,2282.052025,2282.052025,2248.217355,1834.57146,1408.33127,1429260.034
LO,Richmond,0,0,0,0,0,0,0,0,0,0,0
LO,Romford,0,0,0,0,0,0,0,0,0,0,0
LO,Rotherhithe,2013.211702,2496.906784,2346.125616,2187.27063,1372.898536,1852.128552,2258.688383,2135.236448,1963.300828,1286.742861,1384298.164
LO,Seven Sisters,0,0,0,0,0,0,0,0,0,0,0
LO,Shadwell LO,5025.856728,5739.617196,5887.99272,5223.254905,3808.933951,5417.941112,6158.988235,6107.436796,5375.728004,3891.001638,3595992.041
LO,Shepherd's Bush NR,9484.114501,9484.114501,9932.179931,9209.924505,5768.464926,9514.933068,9514.933068,10154.66079,9409.621736,5774.339415,5939472.122
LO,Shoreditch High Street,8233.852364,11082.52071,10827.17312,11840.41103,7677.33564,8603.217877,11964.66394,12326.84399,13554.15749,7864.894621,7060323.669
LO,Silver Street,4054.037418,4054.037418,3952.485227,2977.242239,2116.132593,3915.066364,3915.066364,4095.698675,2985.109656,2224.189638,2363044.77
LO,South Acton,1858.11231,1858.11231,1868.771665,1345.857539,1253.695157,2040.374153,2040.374153,1904.356987,1057.095478,1459.782131,1151876.547
LO,South Hampstead,1014.344735,1014.344735,1008.397517,725.8667454,576.3491905,987.6987061,987.6987061,1001.112274,802.1654862,553.7831952,596361.1967
LO,South Kenton,0,0,0,0,0,0,0,0,0,0,0
LO,South Tottenham,2170.959887,2463.562965,2195.659012,1757.575758,1094.893572,2283.970035,2602.495544,2350.37806,1968.962986,1130.753906,1418530.914
LO,Southbury,1449.908543,1493.015507,1520.044738,1125.091748,753.9058404,1528.549625,1588.316848,1592.144879,1169.655028,836.2168397,904221.3504
LO,St James Street,1966.143558,2370.13736,2153.866894,1840.201321,1150.60641,2021.833094,2456.327986,2135.775285,1788.03607,1149.907378,1349580.52
LO,Stamford Hill,1790.219695,1790.219695,1755.238229,1158.728536,893.9341442,1767.86281,1767.86281,1721.840629,1067.088121,843.9474466,1019655.642
LO,Stoke Newington,3000.960303,3000.960303,2994.741883,2372.560852,1615.289582,2714.629596,2714.629596,2723.139148,2254.757921,1554.652664,1711453.949
LO,Stonebridge Park,0,0,0,0,0,0,0,0,0,0,0
LO,Stratford,0,0,0,0,0,0,0,0,0,0,0
